nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
casual vintage valencia,españa,habitación doble,2,pareja,fantástico,la ubicación inmejorable y la limpieza también un diez.,,9.0,2025-05-14,muy bien
casual vintage valencia,argentina,habitación interior individual pequeña,2,persona que viaja sola,muy bien,está muy bien ubicado y el personal es muy atento,,8.0,2025-05-09,muy bien
casual vintage valencia,españa,,1,pareja,fantástico,hola. estaba limpia y amplia.,,9.0,2025-04-19,muy bien
casual vintage valencia,españa,habitación doble deluxe,2,pareja,las fallas en casa,la ubicación inmejorable para disfrutar de las fallas.,,9.0,2025-04-19,muy bien
casual vintage valencia,españa,,1,pareja,muy bien,la atencion de los empleados muy amables,,8.0,2025-04-11,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,muy bien,ubicación,,8.0,2025-04-07,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,3,persona que viaja sola,maravilloso,"la ubicación, limpieza ,atención del personal",que el ascensor no funcionaba bien,9.0,2025-03-24,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,pareja,muy bien,"ubicación, limpieza, habitación.",desayuno buffet poco variado y de poca calidad.,8.0,2025-03-20,muy bien
casual vintage valencia,españa,habitación doble con balcón - 2 camas,2,pareja,muy agradable,habitación y ubicación,me gustó todo,9.0,2025-03-17,muy bien
casual vintage valencia,españa,,1,pareja,muy bien,la habitación superó las expectativas,el desayuno muy flojo,8.0,2025-03-16,muy bien
casual vintage valencia,españa,,1,persona que viaja sola,todo muy bien,"la ubicación es perfecta, la limpieza muy bien y el trato de los trabajadores es increíble.",,9.0,2025-03-13,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,bien,"todo perfecto cogi habitación individual, y la verdad que muy contenta, amplia, silenciosa, bonita y cómoda. en en pleno centro muy cerquita de todo",,7.0,2025-03-05,muy bien
casual vintage valencia,españa,,1,persona que viaja sola,muy bien,la habitación amplia y camas cómodas. ubicación muy céntrica en la plaza del ayuntamiento. el desayuno también completo,en el baño había olor a cañería,8.0,2025-03-02,muy bien
casual vintage valencia,españa,habitación triple,3,familia,muy bien,"ubicación de 10, tiene un problema gordo con los ruidos tanto internos como con los externos.",,8.0,2025-03-02,muy bien
casual vintage valencia,argentina,habitación interior individual pequeña,6,persona que viaja sola,fantástico,ubicación,,9.0,2025-02-25,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,3,persona que viaja sola,fantástico,la ubicación. los productos de rituals en el baño,,9.0,2025-02-24,muy bien
casual vintage valencia,españa,habitación doble con balcón - 2 camas,1,familia,ubicación perfecta. personal genial.,muy amable el chico de recepción. un encanto. la habitación cómoda. ubicación perfecta en la plaza del ayuntamiento.,todo bien,9.0,2025-02-23,muy bien
casual vintage valencia,españa,habitación triple,3,familia,buena relación calidad -precio,"la ubicación y las vistas es de 10 y el desayuno también. cama cómoda y baño reformado, muy chula la decoración, personal amable",se escucha bastante las habitaciones colindantes,8.0,2025-02-16,muy bien
casual vintage valencia,españa,habitación triple,2,persona que viaja sola,fantástico,la ubicación .en pleno corazón de la ciudad.,el caudal de agua escaso .,9.0,2025-02-11,muy bien
casual vintage valencia,españa,habitación triple,3,familia,fantástico,ubicación y personal,,9.0,2025-02-09,muy bien
casual vintage valencia,españa,,1,pareja,en el centro.,"la cama era cómoda y ponen champú, gel y crema hidratante a disposición.",se escucha todo. las paredes son de cartón pluma.,7.0,2025-02-07,muy bien
casual vintage valencia,españa,habitación doble,1,pareja,muy bien,la ubicacion habitacion y cama muy amplia,no funcionaba la calefaccion en la habitacion el wifi funcionaba a ratos,8.0,2025-02-03,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,3,persona que viaja sola,bien,"muy cómodo, buenas instalaciones y relación calidad-precio genial.","el baño olía un poco a tubería. estaba limpio, pero el olor se notaba.",7.0,2025-02-02,muy bien
casual vintage valencia,españa,habitación triple,1,familia,ubicación excelente,la ubicación y amabilidad del personal estaba todo limpio,la cama individual un poco incómoda,9.0,2025-01-28,muy bien
