nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
ilunion aqua 3,españa,,2,familia,muy bien,,,8.0,2023-11-07,bien
ilunion aqua 3,españa,,1,pareja,bien,,,7.0,2023-11-06,bien
ilunion aqua 3,españa,,3,persona que viaja sola,bien,,,7.0,2023-11-02,bien
ilunion aqua 3,españa,,3,familia,muy bien,,,8.0,2023-11-01,bien
ilunion aqua 3,españa,,1,pareja,bien,,,7.0,2023-10-31,bien
ilunion aqua 3,españa,,1,grupo,muy bien,,,8.0,2023-10-31,bien
ilunion aqua 3,españa,,2,familia,bien,,,7.0,2023-10-30,bien
ilunion aqua 3,españa,,3,pareja,fantástico,,,9.0,2023-10-27,bien
ilunion aqua 3,españa,,2,pareja,muy bien,,,8.0,2023-10-25,bien
ilunion aqua 3,españa,,2,familia,muy bine,,,8.0,2023-10-23,bien
ilunion aqua 3,españa,,2,familia,bien,,,7.0,2023-10-21,bien
ilunion aqua 3,españa,,1,familia,muy bien,,,8.0,2023-10-21,bien
ilunion aqua 3,españa,,1,familia,fantástico,,,9.0,2023-10-19,bien
ilunion aqua 3,españa,,3,pareja,muy bien,,,8.0,2023-10-18,bien
ilunion aqua 3,españa,,1,familia,fantástico,,,9.0,2023-10-18,bien
ilunion aqua 3,españa,,1,familia,fantástico,,,9.0,2023-10-16,bien
ilunion aqua 3,españa,,2,pareja,muy bien,,,8.0,2023-10-11,bien
ilunion aqua 3,españa,,3,familia,bien,,,7.0,2023-10-10,bien
ilunion aqua 3,españa,,1,pareja,bien,,,7.0,2023-10-09,bien
ilunion aqua 3,españa,,1,pareja,bien,,,7.0,2023-10-05,bien
ilunion aqua 3,españa,,1,pareja,bien,,,7.0,2023-10-01,bien
ilunion aqua 3,españa,,2,pareja,bien,,,7.0,2023-09-30,bien
ilunion aqua 3,españa,,1,pareja,muy bien,,,8.0,2023-09-28,bien
ilunion aqua 3,españa,,2,pareja,muy bien,,,8.0,2023-09-28,bien
ilunion aqua 3,españa,,1,grupo,muy bien,,,8.0,2023-09-28,bien
ilunion aqua 3,españa,,1,grupo,muy bien,,,8.0,2023-09-24,bien
ilunion aqua 3,españa,,1,familia,bastante bien y una ubicación perfecta.,,,7.0,2023-09-23,bien
ilunion aqua 3,españa,,1,pareja,bien,,,7.0,2023-09-18,bien
ilunion aqua 3,españa,,1,familia,bien,,,7.0,2023-09-18,bien
ilunion aqua 3,españa,,2,pareja,muy bien,,,8.0,2023-09-18,bien
ilunion aqua 3,españa,,1,pareja,muy bien,,,8.0,2023-09-17,bien
ilunion aqua 3,españa,,1,familia,fantástico,,,9.0,2023-09-17,bien
ilunion aqua 3,españa,,2,pareja,bien,,,7.0,2023-09-17,bien
ilunion aqua 3,españa,,1,familia,estupenda,,,8.0,2023-09-14,bien
ilunion aqua 3,españa,,1,pareja,muy bien,,,8.0,2023-09-14,bien
ilunion aqua 3,españa,,1,grupo,muy bien,,,8.0,2023-09-14,bien
ilunion aqua 3,españa,,1,familia,muy bien,,,8.0,2023-09-13,bien
ilunion aqua 3,españa,,1,familia,bien,,,7.0,2023-09-12,bien
ilunion aqua 3,españa,,2,familia,fantástico,,,9.0,2023-09-11,bien
ilunion aqua 3,españa,,2,pareja,bien,,,7.0,2023-09-10,bien
ilunion aqua 3,españa,,4,familia,muy bien,,,8.0,2023-09-10,bien
ilunion aqua 3,españa,,2,pareja,bien,,,7.0,2023-09-09,bien
ilunion aqua 3,españa,,6,familia,bien,,,7.0,2023-09-07,bien
ilunion aqua 3,españa,,4,familia,muy bien,,,8.0,2023-09-05,bien
ilunion aqua 3,españa,,3,familia,bien,,,7.0,2023-09-04,bien
ilunion aqua 3,españa,,2,familia,muy bien,,,8.0,2023-09-04,bien
ilunion aqua 3,españa,,2,familia,bien,,,7.0,2023-09-03,bien
ilunion aqua 3,españa,,2,pareja,muy bien,,,8.0,2023-09-03,bien
ilunion aqua 3,españa,,1,grupo,muy bien,,,8.0,2023-09-02,bien
ilunion aqua 3,españa,,5,pareja,muy bien,,,8.0,2023-09-01,bien
ilunion aqua 3,españa,,1,grupo,muy bien,,,8.0,2023-08-31,bien
ilunion aqua 3,españa,,1,familia,fantástico,,,9.0,2023-08-30,bien
ilunion aqua 3,españa,,2,grupo,bien,,,7.0,2023-08-29,bien
ilunion aqua 3,españa,,2,pareja,muy bien,,,8.0,2023-08-29,bien
ilunion aqua 3,españa,,1,pareja,bien,,,7.0,2023-08-29,bien
ilunion aqua 3,españa,,6,pareja,fantástico,,,9.0,2023-08-28,bien
ilunion aqua 3,españa,,4,familia,fantástico,,,9.0,2023-08-26,bien
ilunion aqua 3,españa,,2,familia,muy bien,,,8.0,2023-08-26,bien
ilunion aqua 3,españa,,1,familia,muy bien,,,8.0,2023-08-20,bien
ilunion aqua 3,españa,,1,pareja,muy bien,,,8.0,2023-08-19,bien
ilunion aqua 3,españa,,2,familia,muy bien,,,8.0,2023-08-19,bien
ilunion aqua 3,españa,,2,familia,fantástico,,,9.0,2023-08-18,bien
