nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
hotel las arenas balneario resort,italia,habitación doble con vistas laterales al mar,4,familia,excepcional,el personal fue siempre muy amable. el desayuno es muy rico y variado. las instalaciones en esta época del año no estaban abarrotadas de gente. teníamos que dejar el hotel a las 5 de la mañana porque nuestro vuelo partía temprano y nos preparaon un pequeño desayuno. la terraza es muy bonita.,"creo que sería más cómodo tener la información sobre los horarios y menú del hotel impresa en la habitación o en el sitio web. se podía acceder a ella mediante un video en la tv que iba muy rápido y hacía imposible leerla. para usar los ascensores generalmente había que esperar porque sólo hay dos. si contratas el servicio con cena ten en cuenta que deberás pagar la bebida a parte. un agua de 500ml costaba  2,95 lo cual nos pareció un poco caro.",10.0,2025-06-13,fabuloso
hotel las arenas balneario resort,españa,habitación individual estándar,2,persona que viaja sola,una agradable estancia cerca del mar.,"el hotel tiene unas vistas fantàsticas de la bahia de palma. las habitaciones son confortables y espaciosas, con una terraza muy agradable. y las vistas desde la piscina, impresionantes.","el desayuno era variado y abundante, aunque eché en falta algo más de oferta para las personas celíacas o intolerantes a los productos lácteos, como era mi caso: yogures de soja o coco, o pan y galletas sin gluten.",9.0,2025-05-23,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas al mar,3,pareja,volveré,"ubicación, servicios, personal",,10.0,2025-05-13,fabuloso
hotel las arenas balneario resort,polonia,habitación individual estándar,1,persona que viaja sola,fantástico,"terrace con la piascina, ubicación, sunset",musica!!! 3 canciones todo el tiempo.,9.0,2025-04-29,fabuloso
hotel las arenas balneario resort,españa,habitación individual estándar,1,persona que viaja sola,excepcional,la limpieza y el personal,,10.0,2025-04-20,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas al mar,1,familia,habitación bonita y cómoda frente al mar,"el trato del personal y las instalaciones del hotel, super bien. la ubicación genial respecto al aeropuerto y la playa, varios sitios para comer bien en los alrededores.","el buffet de la cena era variado pero no todo lo que probamos estaba delicioso, diría que este aspecto fue lo más flojo del hotel. el buffet del desayuno mejor.",8.0,2025-04-03,fabuloso
hotel las arenas balneario resort,españa,habitación doble estándar,3,familia,fantástico,,,9.0,2024-12-05,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas al mar,1,pareja,fantástico,skype bar es fantástico,spa de pago,9.0,2024-11-03,fabuloso
hotel las arenas balneario resort,españa,habitación doble estándar,2,familia,excepcional,"nos encantó toda nuestra estancia, personal muy amable, y excelente ubicación. a primera linea de playa, una auténtica maravilla, ha cumplido nuestra expectativas. volveremos a repetir sin duda alguna, gracias. cara sonriendo ligeramente",,10.0,2024-11-02,fabuloso
hotel las arenas balneario resort,alemania,habitación individual estándar,3,persona que viaja sola,estupendo,"buena ubicación, todo muy bien cuidado, moderno y limpio. el buffet del desayuno era muy variado.","soy vegetariano, lamentablemente no encontré leche de soja o avena disponibles, aunque los camareros me dijeron que suele estar disponible.",9.0,2024-10-17,fabuloso
hotel las arenas balneario resort,españa,habitación individual estándar,1,persona que viaja sola,buen hotel a pie de playa,"el hotel se nota que tiene sus años pero está reformado, muy bien aspecto y el personal muy agradable. el buffet con bastante variedad.","lo malo que no tiene parking y aunque hay aparcamiento en las calles, no es fácil encontrar sitio. iba con mp, pero podrían avisar en algún lugar que la bebida va a parte, y barata no es.",9.0,2024-10-01,fabuloso
hotel las arenas balneario resort,costa rica,habitación doble con vistas al mar,5,pareja,10de 10,"excelente atención, ubicación y servicio. recomendación al 100 ",,10.0,2024-09-28,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas laterales al mar,4,grupo,las mejores vistas de mallorca están en hotel las arenas,"las piscinas, las vistas desde la azotea, el desayuno y la amabilidad y cuidado en detalle de los trabajadores del hotel.",el salero de las mesas que no tenía sal y que el secador haya que pulsarlo todo el rato. y que solo hay dos ascensores para toda la gente del hotel.,9.0,2024-09-26,fabuloso
hotel las arenas balneario resort,suiza,habitación doble con vistas al mar,3,grupo,ideal el hotel,la ubicación,,8.0,2024-09-23,fabuloso
hotel las arenas balneario resort,bolivia,habitación doble con vistas al mar,3,pareja,aoectacular,"lo gentileza del staff , lo limpio q es y la tranquilidad !",,10.0,2024-09-10,fabuloso
hotel las arenas balneario resort,españa,suite junior con vistas al mar,1,familia,habitación perfecta,habitación super cómoda y con vistas espectaculares,que no suban bebidas a la habitación desde el bar,10.0,2024-09-03,fabuloso
hotel las arenas balneario resort,honduras,habitación individual estándar,2,persona que viaja sola,fantástico,la ubicación del hotel y la comida,todo bien,9.0,2024-08-30,fabuloso
hotel las arenas balneario resort,españa,habitación doble estándar,1,pareja,un hotel para repetir.,la ubicación,todo estaba genial,9.0,2024-08-26,fabuloso
hotel las arenas balneario resort,argentina,habitación doble con vistas al mar,2,familia,las vistas muy lindas!!!,"las vistas, desayuno y piscina.",los ascensores pocos para la cantidad de pasajeros,8.0,2024-08-15,fabuloso
hotel las arenas balneario resort,españa,habitación doble estándar,7,pareja,excepcional,todo muy bien,todo bien,10.0,2024-08-11,fabuloso
hotel las arenas balneario resort,argentina,habitación individual estándar,5,persona que viaja sola,excelente!,"me gusto todo, el hotel, el personal, la ubicacion, la habitacion con balcon y minibar. el desayuno super completo. la zona es muy linda y esta cerca del aeropuerto. me encantaria volver a este hotel. gracias!",,10.0,2024-07-20,fabuloso
hotel las arenas balneario resort,españa,habitación doble estándar,1,familia,lo volvería a escoger,"todo en sí en el hotel es increíble. la ubicación frente a la playa. el trato del personal, sobre todo de las chicas de la limpieza. la calidad y la variedad del buffet. habitaciones espaciosas, limpias y cómodas, al igual que las camas.","nuestra habitación daba a una calle trasera donde había un poco de ruido por la noche. algo así como un extractor y las esperas por el ascensor, eran interminables... por poner algo",9.0,2024-07-06,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas al mar,1,grupo,excepcional,me encantó. volvería,,10.0,2024-06-30,fabuloso
hotel las arenas balneario resort,alemania,habitación doble estándar,3,familia,lindo hotel en mallorca,"las instalaciones son preciosas, la comida deliciosa y los empleados son muy amigables.",las almohadas de las habitaciones son incómodas,9.0,2024-06-08,fabuloso
hotel las arenas balneario resort,austria,habitación doble con vistas al mar,1,pareja,muy bueno.,nos gustó mucho todo! especialmente el desayuno! increíble por su precio! el personal muy amable y trabajador! simona de la recepción fue muy amable y aunque tenía muchísimo trabajo trataba a todos muy bien!,la terraza es hermosa pero creo que se podría mejorar la atención allí,9.0,2024-05-29,fabuloso
hotel las arenas balneario resort,alemania,habitación doble con vistas a la piscina,3,familia,excepcional,me gusto mucho la piscina en el techo.tiene una vista espectacular.,,10.0,2024-05-21,fabuloso
hotel las arenas balneario resort,españa,suite junior con vistas al mar,4,familia,un sitio para recordar,"todo en general personal, confort, cama, comida",,10.0,2024-04-29,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas al mar,3,familia,perfecta,"desayuno excelente, ubicación inmejorable",,10.0,2024-04-08,fabuloso
hotel las arenas balneario resort,colombia,habitación doble estándar,2,familia,fantástico,"muy linda terraza, el hotel está en una muy buena ubicación cerca a todo",,9.0,2024-03-23,fabuloso
hotel las arenas balneario resort,argentina,habitación doble con vistas al mar,2,pareja,excelente,el hotel es hermoso y se come súper bien,,10.0,2024-03-22,fabuloso
hotel las arenas balneario resort,españa,habitación doble estándar,1,familia,estancia en familia,"la ubicación, el lobby, la terraza con piscina","las camas!!!!! imposible dormir en ellas, parecen de madera. y el cafe del desayuno no nos ha gustado nada",8.0,2024-03-21,fabuloso
hotel las arenas balneario resort,argentina,habitación doble con vistas al mar,6,familia,totalmente recomendable,"un hotel hermoso, limpio, prolijo. bien atendido por sus empleados. el desayuno parece mas un almuerzo de un all inclusive: completo es poco. buffet muy abundante. no se escuchan ruidos de la calle.","respecto al hotel, nos gusto todo. nada malo que decir. respecto a la zona, tener en cuenta que en el caso de alquilar auto, estacionar es practicamente imposible. no hay parking y se dan muchas vueltas hasta encontrar lugar. el hotel no posee.",10.0,2023-10-24,fabuloso
hotel las arenas balneario resort,españa,habitación doble estándar,1,grupo,muy bien,la cama es muy confortable y está todo muy limpio. el personal de recepción muy amable. está en primera línea de playa.,está ubicado en una zona enfocada a extranjeros y tampoco había mucho ambiente.,8.0,2023-10-22,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas al mar,2,pareja,bastante bien,"la terraza del piso de arriba, la atención de las recepcionistas que me dieron muchos tips, el desayuno.","- la ubicación, puesto que hay mucha distancia al centro. - la atención del maitre. muy poco profesional y bastante antipático. - el baño, pues con un cristal de separación no se tiene intimidad.",8.0,2023-10-21,fabuloso
hotel las arenas balneario resort,españa,habitación individual estándar,2,persona que viaja sola,excepcional,"la habitación muy limpia, con vistas al mar y cómoda.la ubicación es excelente y el personal muy amable. la terraza con piscina increíble. sin duda repetíré.",,10.0,2023-10-05,fabuloso
hotel las arenas balneario resort,españa,habitación doble estándar,4,pareja,muy bien,"la ubicación, está en primera línea de playa, a menos de 10 minutos del aeropuerto en coche y a 20 de la palma. no hay nada de ruido en las habitaciones y el personal es muy amable. nuestro vuelo salía a las 19h y pudimos aprovechar el día de playa porque tienen maletero y unas duchas que nos dejaron usar después de hacer el check out. los buffets de desayuno y cena muy bien, lo único que cierra pronto para horario español  21:30 ",cobran por usar la caja fuerte de la habitación. he viajado mucho y en todos los hoteles en los que me he alojado siempre había sido un servicio gratuito,9.0,2023-09-17,fabuloso
hotel las arenas balneario resort,chile,habitación individual estándar,3,persona que viaja sola,excepcional,"balcón, la vista, las piscinas aunque no las usé, el desayuno y personal de la recepción y aseo.",,10.0,2023-09-13,fabuloso
hotel las arenas balneario resort,argentina,habitación doble con vistas al mar,5,pareja,"muy buena ,los empleados hermosos","todo,el desayuno y la cena de una variedad y calidad espectacular","los horarios del desayuno y la cena son muy temprano ,y los shows se superponen con el final de la cena ,por lo cual si vas a cenar tarde te perdes el show",10.0,2023-08-27,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas a la piscina  2 adultos   1 niño ,3,familia,excepcional,"el bufete estuvo genial, las piscinas super bonitas y muy tranquilo , todo el personal super agradable la verdad que el hotel fue un acierto en todo en ubicación. me encantó",,10.0,2023-08-21,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas al mar,2,grupo,una atención de 10,la amabilidad del personal. habitaciones muy bien equipadas e instalaciones estupendas.,,10.0,2023-08-14,fabuloso
hotel las arenas balneario resort,argentina,habitación doble con vistas al mar,5,pareja,excelente opción en can pastilla,"la ubicación es perfecta, la habitación cómoda y las vistas al mar excelente.",,9.0,2023-08-13,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas al mar,7,familia,excelente,"la ubicación, la amabilidad del personal y la comida estaba muy bien. muy cerca al mar y una buena zona de ocio",faltaban cubiertos para comer,10.0,2023-08-12,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas al mar,6,pareja,mallorca nos ha robado el corazón !,"la limpieza. había una chica que nos limpiaba la habitación todos los días y nos cambiaba las toallas a diario, muy amable y muy maja. todo el personal muy amable.","la comida,no fue como me lo esperaba. no había mucha variedad y casi todos los días era lo mismo. por las fotos pensaba que habría mucha más variedad y que cada día habría algo nuevo. tampoco me gusto el hecho de que no nos cambiaron las sábanas durante los 5 días que estuvimos. y las almohadas poco cómodas.",10.0,2023-08-10,fabuloso
hotel las arenas balneario resort,estados unidos,habitación individual estándar,6,persona que viaja sola,excepcional,la cama era cómoda,"el aire acondicionado no era suficiente para enfriar la habitación durante el día ya que le daba el sol toda la tarde y parte de la mañana, el aire acondicionado en general era poco en el hotel.",10.0,2023-08-05,fabuloso
hotel las arenas balneario resort,españa,habitación doble estándar,5,pareja,gracias por vuestra amabilidad,que es tal y como en las fotos corazón rojo,,10.0,2023-07-31,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas al mar,5,familia,fantástico,situación buffet,..,9.0,2023-07-25,fabuloso
hotel las arenas balneario resort,suiza,habitación doble con vistas al mar,5,familia,una estancia excelente,muy buen desayuno y cena. excelente ubicación y personal muy amable.,los ascensores en las horas pico se quedan cortos,9.0,2023-07-20,fabuloso
hotel las arenas balneario resort,italia,habitación doble con vistas laterales al mar  2 adultos   1 niño ,9,familia,el personal excelente! nos hicieron sentir como en casa.,la terraza del hotel es más hermosa de lo que se ve en fotos,la limpieza de la habitación no era al nivel de un 4 estrellas,9.0,2023-07-20,fabuloso
hotel las arenas balneario resort,españa,habitación individual estándar,7,pareja,excepcional!! repetiría y 100 recomendado!!,las instalaciones súper cómodas y limpias. el trato del personal súper amables y colaboradores. el desayuno variado y delicioso cara babeando,el ascensor se demora un poco pero en líneas generales nada que no pueda sobrellevarse.,10.0,2023-07-11,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas al mar,4,pareja,excelente,"todo vistas, buffet, habitación, el personal, piscinas",por la noche en la habitación se ve que estan todos con el aire acondicionado encendidos y lo enchufas y no sale frío y pasas un poquito de calor por las noches,10.0,2023-06-23,fabuloso
hotel las arenas balneario resort,argentina,habitación doble con vistas laterales al mar,5,familia,fantástico,las instalaciones y la ubicación.,,9.0,2023-06-22,fabuloso
hotel las arenas balneario resort,uruguay,habitación individual estándar,3,persona que viaja sola,fantástico,"habitación, cama, baño, desayuno.",,9.0,2023-06-20,fabuloso
hotel las arenas balneario resort,españa,habitación doble estándar,1,grupo,fantástico,"la ubicación, y el desayuno muy bien la piscina genial!",,9.0,2023-06-18,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas a la piscina,7,familia,muy bien,instalación y amabilidad del personal,"no me gustó, que no hubiera servicio de comida y poder intercambiar así la comida con la cena en la media pensión como en otros hoteles, se palpaba el horario un poco limitado de cena para españoles ,de 6 y media a nueve y media, el resto muy muy bien .",8.0,2023-06-18,fabuloso
hotel las arenas balneario resort,uruguay,habitación doble con vistas a la piscina,2,pareja,muy recomendable,ubicacion,todo estuvo bien,10.0,2023-06-17,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas al mar,2,grupo,muy bien,muy agradable el personal y la comodidad del hotel,las piscina muy pequeñas,9.0,2023-06-17,fabuloso
hotel las arenas balneario resort,venezuela,habitación doble con vistas al mar,3,pareja,finde en pareja,"buenas instalaciones, excelente atención, la comida variada y muy buena","los horarios de las cenas, deberían considerar extenderlo hasta un poco más tarde",10.0,2023-06-14,fabuloso
hotel las arenas balneario resort,argentina,habitación doble con vistas al mar,7,familia,prevengan,es la segunda vez que estamos muy bueno a nuestro gusto,los aumentos de precios dictaminado por booking.com con su nuevo sistema es abusivo estamos por cambiar el método y lugares como de proveedor en futuros viajes y toda persona que conocimos ya se queja fuertemente de esto incentivado por el algoritmo y la inteligencia artificial en complicidad,10.0,2023-06-01,fabuloso
hotel las arenas balneario resort,españa,habitación doble estándar,2,grupo,100  recomendable,"la habitación estaba muy limpia y era muy cómoda. teníamos desayuno incluido y había una gran variedad , tanto para desayunos nacionales como internacionales. había dos piscinas, la piscina de la última planta es una auténtica maravilla con vistas a la playa. un lugar muy recomendable, para repetir seguro.","la intimidad del baño, agradecería que hubiera puerta en el aseo y que el water y la ducha estuvieran separadas por una pared y no por un cristal traslúcido.",10.0,2023-05-28,fabuloso
hotel las arenas balneario resort,argentina,habitación individual estándar,2,persona que viaja sola,muy bien,"bien ubicado, zona de bares y restaurantes. unos 600mts para tomar el colectivo que te lleva al centro.","la playa del frente al hotel no es apta para baño, hay que caminar unos 300-400 mts",8.0,2023-05-23,fabuloso
hotel las arenas balneario resort,españa,habitación individual estándar,3,persona que viaja sola,agradable.,"limpieza lo primero. el desayuno variado. el personal amable a la hora de facilitar taxi, rent a car y explicación de cualquier duda. la sauna. la zona de maletas, vestuario y duchas si debes dejar la habitación por la mañana pero tu vuelo sale de tarde noche. es un puntazo!","me llama la atención que pagando cenas, no tengas acceso a una bebida mínima, tipo un agua, si ya luego quieres más si veo bien abonar el precio. el menú no lo he visto tan variado como en otros hoteles. en mi caso no me ha merecido la pena cenar en el hotel. el ruido nocturno de los  guiris  de fiesta. pero de eso tampoco tiene la culpa el hotel...",8.0,2023-05-14,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas al mar,1,pareja,una escapada para repetir,"el trato de los trabajadores, tanto en el restaurante como en la cafetería de planta baja. el desayuno y la comida también nos gustó mucho así como la limpieza y las vistas desde la habitación","el trato en la cafetería de la última planta. había tres trabajadores dentro de la barra, nos sentamos en una mesa frente a ellos y no fueron capaces de acercarse a ver qué queríamos, el cobro por adelantado   antes de servir las bebidas . pedimos piña colada y moijio y la piña colada era coco con alcohol   la piña solo estaba en la muestra del vaso  y el mojito tampoco estaba muy bueno. para la calidad de estas bebidas, caro. y si no saben hacer alguna bebida o no tienen la materia para hacerlo, mejor decirlo y hubiesemos pedido otra cosa.",8.0,2023-05-12,fabuloso
hotel las arenas balneario resort,italia,habitación individual estándar,1,persona que viaja sola,muy bien,la posición y el personal muy cortés. el desayuno muy variado y abundante,la habitación un poco pequeña pero yo viajaba sola y cogí una individual,8.0,2023-05-04,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas al mar,4,familia,fantástico,las instalaciones nuevas y decoradas con buen gusto. habitación amplia. primera línea de playa. buffet bueno. preciosas vistas.,si vas con coche es difícil aparcar en las inmediaciones. no hay parking en el hotel. las calles de alrededor son estrechas.,9.0,2023-04-30,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas al mar,6,familia,perfecto todo en general,"todo perfecto, el trato del personal, las instalaciones, el comedor todo genial, la ubicación que más se puede pedir","quizá por poner un pero, es que en la cenas había cosas un poco repetitivas, pero para pocos días no llega a cansar",10.0,2023-04-25,fabuloso
hotel las arenas balneario resort,españa,habitación individual estándar,3,persona que viaja sola,inolvidable,"la vistas desde la habitación y la azotea era lo más bonito, también estaba en una zona muy bien comunicada, tranquila, con mucho ambiente y restaurantes de todo tipo. el desayuno buffet tenía todo tipo de bollería, fruta, etc para elegir volvería a repetir el hotel sin duda alguna",que limpiaban la habitación muy por encima,10.0,2023-04-24,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas a la piscina,3,pareja,excepcional,,el horario de cena lo alargaría un poco,10.0,2023-04-16,fabuloso
hotel las arenas balneario resort,españa,habitación individual estándar,7,persona que viaja sola,fantástico,el personal del comedor.,,9.0,2026-04-04,fabuloso
hotel las arenas balneario resort,españa,habitación individual estándar,2,persona que viaja sola,fantástico,"hotel muy bien comunicado con el aeropuerto, y con muchos restaurantes en los alrededores. desayuno buffet variado y muy rico.","la habitación olía ha cerrado, hacía bastante calor y por el sistema de ventilación que tienen, tenía que decir si quería que se enfriara o prefería ventilar. el bano es de estos modernos donde hay un cristal en la ducha, por lo que en la zona del dormitorio  camas  entra toda la luz del cuarto de bano y desde la cama se ve el váter, por lo que si quieres compartir no es la mejor opción.",9.0,2025-11-06,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas a la piscina,2,grupo,buena experiencia,desayuno muy completo,habitación de matrimonio con dos camas individuales,8.0,2025-10-27,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas laterales al mar,5,pareja,excelente,la ubicación e instalaciones,,9.0,2025-10-09,fabuloso
hotel las arenas balneario resort,uruguay,habitación doble estándar,3,familia,"muy lindo hotel, excelente ubicación","muy bien ubicado, excelente desayuno.",hotel sin parking en zona muy difícil de estacionar.,9.0,2025-07-24,fabuloso
hotel las arenas balneario resort,españa,habitación individual estándar,2,persona que viaja sola,muy bien,el desayuno y el vestuario para cuando ya estás fuera de la habitación y necesitas ducharte,,8.0,2025-05-15,fabuloso
hotel las arenas balneario resort,suiza,habitación individual estándar,5,persona que viaja sola,fantástico,excelente desayuno!,,9.0,2025-05-09,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas a la piscina,2,familia,muy bien,en general todo y lo q más el servicio d guardametas.,el servicio a la entrada a la habitación q no se pudo hacer al llegar se tardó algo d una hora y media.,8.0,2025-04-27,fabuloso
hotel las arenas balneario resort,italia,habitación doble con vistas al mar,5,pareja,muy buena experiencia en mallorca frente al mar,"la experiencia en general muy buena. vale la pena destacar el desayuno y cena buffet, muy rico y muy variado. la ubicación, increíble. staff muy servicial. cama y baños comodísimos. elegimos la habitación con vista al mar, la verdad muy recomendable.","el espacio de la habitación es muy reducido, aunque no hayamos estado en la habitación más económica. por otra parte, el aire estaba centralizado con calefacción y no tuvimos la opción de tener aire acondicionado frío.",8.0,2025-04-04,fabuloso
hotel las arenas balneario resort,argentina,habitación doble estándar,1,pareja,muy bien,la ubicación está cercana al mar y el hotel es moderno y muy limpio. la habitación era luminosa y con un balcón con buena vista.muy buen desayuno,habitación chica y sencilla. la calificación de 4 estrellas le queda grande,8.0,2024-11-29,fabuloso
hotel las arenas balneario resort,españa,habitación doble estándar,4,pareja,muy bien,el desayuno era muy completo.,la insonorización no era buena,8.0,2024-11-08,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas laterales al mar,4,grupo,el hotel muy bien y el personal muy agradable.,"el hotel en general, y el personal muy bien, y la ubicación perfecta.","por poner un pero, las toallas del baño que raspan un poco, y las actuaciones que se hacen por las noches solo están pensadas para extranjeros, con lo que para españoles regular.",9.0,2024-10-06,fabuloso
hotel las arenas balneario resort,chile,habitación doble con vistas al mar,1,familia,muy bien,buena ubicación,que no tuviera parking propio,8.0,2024-09-21,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas al mar,7,pareja,fantástico,la atención del personal y el buffet está genial,,9.0,2024-07-16,fabuloso
hotel las arenas balneario resort,países bajos,habitación individual estándar,1,persona que viaja sola,estuvo genial,"la decoración, el personal, la ubicación, las vistas y el restaurante bar que da a la calle está genial también.",,8.0,2024-07-12,fabuloso
hotel las arenas balneario resort,argentina,habitación doble con vistas al mar,5,familia,excepcional,la vista a la playa desde el balcón de la habitación.,pagar aparte el uso de la caja de seguridad y del frigobar,10.0,2024-05-20,fabuloso
hotel las arenas balneario resort,españa,habitación individual estándar,1,persona que viaja sola,relajación con vistas al mar,la habitación que estuve estaba en 2 línea de mar,en cierto modo nada ya que por precio y calidad estaba bien,8.0,2024-05-15,fabuloso
hotel las arenas balneario resort,venezuela,habitación doble con vistas laterales al mar,2,pareja,fantástico,muy bueno la piscina el detalle que tuvieron para mi cumpleaños gracias,todo muy bien gracias,9.0,2024-05-03,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas al mar,2,pareja,excepcional,"ha estado genial, desayuno buffet muy completo y el personal es muy agradable",,10.0,2024-05-02,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas a la piscina,3,familia,fantástico,"todo, la comida muy buena",el ruido de los aviones,9.0,2024-03-31,fabuloso
hotel las arenas balneario resort,argentina,habitación doble con vistas a la piscina,2,familia,muy buen hotel. zona de difícil estacionamiento.,"ubicación, muy cerca del aeropuerto limpieza y el desayuno excepcional!","muy chica la habitación y el hotel no tiene parking. no obstante el baño es excelente y la habitación tiene frigobar. no queda otra que alquilar un auto en la isla, y es extremadamente difícil conseguir parking en la zona por la tremenda cantidad de autos, ausencia de parking privados y muchas  líneas amarillas  de prohibición de estacionamiento en can pastilla.",8.0,2024-03-26,fabuloso
hotel las arenas balneario resort,andorra,habitación doble estándar,3,grupo,buen hotel,ubicacion fantastica.,,8.0,2024-03-18,fabuloso
hotel las arenas balneario resort,colombia,habitación individual estándar,1,persona que viaja sola,muy bien,"el hotel está bien situado, las habitaciones son cómodas, actualizadas, modernas, las sábanas en muy buen estado, las toallas en regular estado, el baño actualizado, amplio. la atención en la recepción muy amables. el desayuno muy bueno, gran variedad de panes, frutas, carnes frias y quesos, vegetales, bebidas calientes y frías, cereales, huevos recién preparados, delicioso todo.",,8.0,2023-10-11,fabuloso
hotel las arenas balneario resort,españa,habitación individual estándar,3,pareja,recomendable.,la comida estaba muy buena.,mal aparcamiento,8.0,2023-10-09,fabuloso
hotel las arenas balneario resort,españa,habitación individual estándar,3,persona que viaja sola,muy bien,"el buffet, la atención del personal, instalaciones, todo en general muy bien","el único detalle es que el baño olía mal por la noche y tenía que cerrar la puerta, durante el día no pasaba.",8.0,2023-09-29,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas al mar,3,pareja,"magnifico servicio, lugar y trato con el huésped. son muy amables y te sorprenden con detalles.","ubicación, instalaciones, restaurante, la vista, el trato, las piscinas.",el cobro elevado para reservar las tumbonas y el horario de cierre de las piscinas,10.0,2023-07-09,fabuloso
hotel las arenas balneario resort,argentina,habitación doble estándar,3,pareja,muy bien,comodidad y desayuno,la vista de la habitación,8.0,2023-06-02,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas a la piscina,8,pareja,confortable,la comida bien vistas y ubicación perfecta,falta de producto de aseo,8.0,2023-05-28,fabuloso
hotel las arenas balneario resort,españa,habitación doble con vistas a la piscina,3,pareja,buen hotel a buen precio.,"las habitaciones son amplias, cuatro de baño moderno y amplio. las habitaciones tienen terraza en mi caso daban a la piscina. las habitaciones son cómodas y silenciosas. el desayuno y la cena están muy bien, el personal es muy agradable.",quizás algo de falta de limpieza por decir algo.,10.0,2023-06-26,fabuloso
