nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
casual vintage valencia,españa,habitación doble - 2 camas,2,persona que viaja sola,fantástico,,,9.0,2023-07-13,muy bien
casual vintage valencia,españa,,1,persona que viaja sola,excepcional,,,10.0,2026-04-15,muy bien
casual vintage valencia,españa,habitación doble,1,persona que viaja sola,excepcional,,,10.0,2026-04-02,muy bien
casual vintage valencia,españa,habitación triple,1,familia,excepcional,,,10.0,2026-03-24,muy bien
casual vintage valencia,españa,,1,pareja,excepcional,,,10.0,2026-03-19,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,pareja,excepcional,,,10.0,2026-03-18,muy bien
casual vintage valencia,españa,habitación doble,1,persona que viaja sola,excepcional,,,10.0,2026-02-28,muy bien
casual vintage valencia,españa,habitación doble con balcón - 2 camas,1,pareja,excepcional,,,10.0,2026-02-25,muy bien
casual vintage valencia,españa,habitación triple,1,familia,excepcional,,,10.0,2026-02-16,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,3,persona que viaja sola,excepcional,,,10.0,2026-02-10,muy bien
casual vintage valencia,españa,habitación triple,2,grupo,decepcionante,,,4.0,2026-01-26,muy bien
casual vintage valencia,españa,,1,grupo,agradable,,,6.0,2026-01-08,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,pareja,excepcional,,,10.0,2026-01-01,muy bien
casual vintage valencia,españa,,3,pareja,excepcional,,,10.0,2025-12-30,muy bien
casual vintage valencia,españa,habitación doble,1,persona que viaja sola,excepcional,,,10.0,2025-12-23,muy bien
casual vintage valencia,españa,habitación doble,1,grupo,excepcional,,,10.0,2025-12-22,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,excepcional,,,10.0,2025-12-13,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,3,persona que viaja sola,excepcional,,,10.0,2025-12-09,muy bien
casual vintage valencia,españa,,1,persona que viaja sola,agradable,,,6.0,2025-11-25,muy bien
casual vintage valencia,españa,,1,familia,excepcional,,,10.0,2025-11-17,muy bien
