nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
the river hostel,españa,cama en habitación compartida mixta de 6 camas,1,persona que viaja sola,muy bien,muy buen lugar. muy bien ubicado. buenas instalaciones. volveré sin duda.,,9.0,2023-04-26,muy bien
the river hostel,españa,cama en habitación compartida mixta de 6 camas,3,grupo,estancia perfecta para un par de noches,ubicación,nada,9.0,2023-04-24,muy bien
the river hostel,españa,litera en dormitorio compartido mixto con 10 camas,2,grupo,higiene y baños impecables,"los baños son amplios y comodos. tiene cubículos cerrados en cada váter y en cada ducha. sitio para dejar los elementos de higiene de sobra. el desayuno buffet estaba bien variado y el precio acorde. ha superado mis expectativas. además íbamos en grupo y no pudimos reservar una habitación para nosotros, sin embargo el personal tuvo la amabilidad de acomodarnos a todos juntos. todo estaba estupendamente limpio.","el personal ha sido muy atento la verdad, pero muy pocos hablaban español. para algunas cosas era necesario hablar con ellos en inglés porque no comprendían del todo el español.",8.0,2023-04-24,muy bien
the river hostel,españa,cama en habitación compartida mixta de 4 camas,2,persona que viaja sola,"algunas recepcionistas no saben español  en españa . por lo demás, todo genial.","el desayuno. por un poco más en el precio, el desayuno está genial. la ubicación estaba bien, y la habitación con tan sólo 4 camas, también. un cofre para meter la maleta entera y que te dieran la llave y el candado del cofre, genial. todo muy limpio, aparentemente nuevo, de calidad y confortable, la verdad.","menos mal que soy bilingüe y pude hablar bien en inglés con las recepcionistas, porque si no... increíble que en mi propio país, la recepcionista me pidiera hablar en inglés porque no sabía español... fatal, eso estuvo fatal. si no sabéis inglés, mejor no vayáis. siempre suele haber dos y una habla en español, pero no me pareció de recibo... comencé a hablar en español al llegar, y la chica me dijo:  excuse me, do you speak english? . mi respuesta:  yes, but....  antes de que terminara de decir  yes, but we are in spain , me cortó y se me puso a hablar en inglés. de muy mala educación. fue una de las recepcionistas del viernes por la tarde-noche, una rubita, no me quedé con el nombre. había otros que se notaba que tampoco sabían español, pero parecían un poco más amables, no tan mal educados. por otra parte, las duchas estaban súper altas y a mí, que soy bajita, apenas llegaba el agua a mi cuerpo  se repartía por todo el espacio . y los aseos separados de las duchas, por lo que era imposible asearte y ducharte a la vez.",8.0,2023-04-20,muy bien
the river hostel,españa,litera en dormitorio compartido mixto con 10 camas,2,persona que viaja sola,lo que buscaba.,lo mejor la localización.,"la escalera de la litera, me pareció incómoda.",8.0,2023-04-18,muy bien
the river hostel,españa,cama en habitación compartida mixta de 8 camas,1,pareja,muy bien,la atención,,8.0,2023-04-17,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,2,persona que viaja sola,excepcional,la atención del personal es excelente muy amables y aclaran cualquier duda el servicio es excepcional 100  recomendado,,10.0,2026-04-15,muy bien
the river hostel,españa,litera en dormitorio compartido mixto con 10 camas,1,persona que viaja sola,excepcional,la atención es excelente las chicas muy profesionales amables.. recomendación al 100 ,,10.0,2026-04-12,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,4,persona que viaja sola,excepcional,el trato y la atención ke prestan las y los empleados,,10.0,2026-04-09,muy bien
the river hostel,españa,litera en una habitación compartida femenina,1,persona que viaja sola,muy mal,los chicos que hacen el turno de noche muy bien pero las chicas de mañana la verdad me decepcione,hoy ala tarde fuy a reservar una cama para esta noche y le dije a la chica que me de una noche mas y despues de alojarme varios dias me dijo que estaban completos y le dije ok me busco otro hostal y resulta que entro en bookin y veo que el hostal donde me alojaba no estaba completo resumen atencion al cliente la chica nefasta,2.0,2026-04-08,muy bien
the river hostel,españa,litera en una habitación compartida femenina,2,persona que viaja sola,bien pero podría ser mejor,"en el dormitorio para las mujeres, las camas permiten tener mucha privacidad.","no hay sitio especifico con pilas para lavarse la cara o los dientes. hay que usar las dos únicas pilas muy pequeñas de los aseos, lo cual es muy incómodo y poco práctico. además, los aseos y las duchas no están muy limpios.",6.0,2026-04-07,muy bien
the river hostel,españa,cama en habitación compartida mixta de 4 camas,1,persona que viaja sola,fantástico día en valencia en fallas,ubicación y amabilidad del personal,,10.0,2026-04-06,muy bien
the river hostel,españa,litera en una habitación compartida femenina,1,pareja,excepcional,me encantó el lugar muy bien ubicado y las personas muy agradables,,10.0,2026-04-05,muy bien
the river hostel,españa,litera en dormitorio compartido mixto con 10 camas,1,persona que viaja sola,excepcional,"es un edificio histórico, muy bien situado. el personal es muy atento y competente. las camas son confortables y los baños amplios y limpios",quizá podría estar algo mejor reformado,10.0,2026-03-28,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,1,persona que viaja sola,me gustó,"el ambiente. las trabajadoras eran muy majas y atendían cualquier duda. el sitio está bien cuidado, limpio. la cama también era cómoda y también tenía aire. cada una con cortinas y su cajón. buen servicio. además está en un sitio bien localizado.",no tengo algo que no me haya gustado especialmente. pero como sugerencia se podrían poner otras sillas diferentes a las blancas. a lo mejor algún puff y una mesita.,10.0,2026-03-27,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,2,persona que viaja sola,pésimo,,"a llegar cama sucias y utilizadas da alguien entro en mi cama después esperar otra dos horas más ,hago el check out y me engañas con la devolución de lo 5 de la pulsera , me robaron antes de llegar a qui y le expliqué que el 5 de la pulsera lo necesitaba a salir de aquí aunque avi apagado con tarjeta...me dijieron que si y ahora me lo devuelven en el banco y me quedo yo sin dinero",1.0,2026-03-23,muy bien
